3223,5331,1213
129,129,0
2119,15,19
23389,7011,0
75,21,8
11,67,2
193,13,1
39,51,1
59,13,3
39,63,0
167,37,7
165,285,28
131,25,0
517,37,0
82193,221,55
625,51,0
93,31,13
171,115,5
21687,10583,4284
237,39,2
147,779,22
99,9,0
125,33,11
65893,287,1542
1223,271,0
77,17,4
409,85,56
131,147,42
1049,525,0
3893,14935,250
427,141,0
4221,83,33
82183,7,0
167,35,9
1761,1375,76
29897,16537,6429
4657,63843,4
5063,423899,531
295,281,1
3019,53,0
84941,251,2930
45,143,12
23143,559,0
67,11,1
359,39,14
2097,157,7
131171,1081,2289
31,25,14
49,55,25
63,33,15
1219,1579,15
65,55,22
57,54947,7
85,71,23
131791,6609,186
49,23,15
809,167,0
111,163,39
7701,283,83
9045,63,24
145,61,2
37,39,3
65573,4165,0
1419,31,0
125,33,11
125,33,11
125,33,11
125,93,93,15,15,11,15,7,15,37,2119,93,139,47
93,139,47
